N.Y. POLICE DEPT	630466
PORT AUTHORITY	5122
N.Y. TRANSIT POLICE	238
HEALTH & HOSP CORP	664
U.S. PARK POLICE	6
N.Y. STATE POLICE	151
N.Y. HOUSING POLICE	85791
TRI-BORO BRDG TUNNL	1088
METRO NORTH	143
N.Y. STATE PARKS	86
NEW YORK CITY SHERIFF OFFICE	8
DEPT OF CORRECTIONS	18
NYS DEPT TAX AND FINANCE	9
FIRE DEPT (FIRE MARSHAL)	7
LONG ISLAND RAILRD	155
POLICE DEPT NYC	1109
AMTRACK	78
NYC PARKS	21
