N.Y. POLICE DEPT	840761
PORT AUTHORITY	27
N.Y. TRANSIT POLICE	259
HEALTH & HOSP CORP	836
U.S. PARK POLICE	24
N.Y. STATE POLICE	63
N.Y. HOUSING POLICE	103832
TRI-BORO BRDG TUNNL	136
METRO NORTH	51
N.Y. STATE PARKS	6
NYC DEPT ENVIRONMENTAL PROTECTION	2
NEW YORK CITY SHERIFF OFFICE	46
DEPT OF CORRECTIONS	6
NYS DEPT TAX AND FINANCE	7
FIRE DEPT (FIRE MARSHAL)	24
LONG ISLAND RAILRD	12
POLICE DEPT NYC	1364
AMTRACK	1
SEA GATE POLICE DEPT	23
NYC PARKS	2
