N.Y. POLICE DEPT,629032
PORT AUTHORITY,255
N.Y. TRANSIT POLICE,59
HEALTH & HOSP CORP,204
U.S. PARK POLICE,11
N.Y. STATE POLICE,512
N.Y. HOUSING POLICE,23214
TRI-BORO BRDG TUNNL,381
METRO NORTH,31
N.Y. STATE PARKS,9
NYC DEPT ENVIRONMENTAL PROTECTION,1
NEW YORK CITY SHERIFF OFFICE,15
DEPT OF CORRECTIONS,8
NYS DEPT TAX AND FINANCE,16
FIRE DEPT (FIRE MARSHAL),16
LONG ISLAND RAILRD,22
POLICE DEPT NYC,212
AMTRACK,5
CONRAIL,1
NYC PARKS,6
