PETIT LARCENY,118521
HARRASSMENT,87097
CRIMINAL MISCHIEF & RELATED OF,82821
ASSAULT 3 & RELATED OFFENSES,71013
GRAND LARCENY,55790
BURGLARY,48044
OFF. AGNST PUB ORD SENSBLTY,44015
FELONY ASSAULT,24025
GRAND LARCENY OF MOTOR VEHICLE,23212
MISCELLANEOUS PENAL LAW,18599
