PETIT LARCENY,84666
ASSAULT 3 & RELATED OFFENSES,69441
HARRASSMENT 2,69298
CRIMINAL MISCHIEF & RELATED OF,62392
DANGEROUS DRUGS,47251
OFF. AGNST PUB ORD SENSBLTY &,36697
GRAND LARCENY,30422
BURGLARY,29497
FELONY ASSAULT,25057
ROBBERY,17752
