FLUSHING MEADOWS CORONA PARK	314
RANDALL'S ISLAND PARK	98
CENTRAL PARK	88
CROTONA PARK	85
JACKIE ROBINSON PARK MANHATTAN	79
MACOMBS DAM PARK	71
BRYANT PARK	60
WASHINGTON SQUARE PARK	53
BATTERY PARK	41
HARLEM RIVER PARK	40
